submission_date,state,tot_cases,conf_cases,tot_death
12/27/2021,UT,628310,628310.0,3770
06/19/2020,AK,729,,16
07/05/2021,MS,323003,197484.0,7507
07/20/2022,UT,997556,997556.0,4869
08/05/2020,SD,9168,,137
07/20/2021,PA,1222710,1023635.0,27805
05/19/2021,NY,1143571,,19666
03/08/2022,PR,474930,267321.0,4140
06/13/2020,NY,173137,,8489
08/13/2022,AK,275542,,1296
08/19/2020,TX,557256,,13463
09/20/2022,MP,13166,13166.0,40
11/23/2021,PR,187581,153659.0,3266
07/21/2022,HI,313805,,1536
06/14/2022,TX,6952232,,86922
07/28/2022,HI,317785,,1559
03/17/2020,WA,928,,47
08/31/2022,IA,843034,,9940
03/16/2021,AK,58317,,331
04/06/2021,TX,2800254,,48981
03/09/2021,ND,100615,95029.0,1452
04/25/2022,IN,1699213,,23552
03/26/2021,MS,305251,187743.0,7184
09/01/2020,AS,0,,0
07/02/2022,PW,5237,,6
05/11/2022,PR,581782,304668.0,4240
02/01/2022,NY,2558863,,25992
04/03/2022,CO,1420106,1292432.0,11977
05/18/2021,AR,339162,,5805
04/19/2022,TN,2023203,1537383.0,26109
09/21/2020,OK,84149,80722.0,1264
04/10/2020,OK,2552,,102
09/12/2020,SD,16437,,183
06/16/2022,GU,50608,,370
01/16/2021,TN,669647,576548.0,8311
09/08/2020,AR,66757,,917
08/03/2020,PW,0,,0
10/12/2022,OK,1203469,856725.0,14924
03/18/2022,CO,1414707,1287835.0,11887
12/23/2021,PA,1924507,1583450.0,35786
06/10/2021,TN,861006,710131.0,12496
07/07/2022,NYC,2628033,2228426.0,40832
05/11/2022,WA,1523879,,12770
03/14/2020,NY,311,,0
02/27/2022,WV,488359,387487.0,6308
07/08/2021,WA,453833,,5986
05/07/2020,OH,22131,21132.0,1271
07/03/2020,MA,104228,104228.0,8186
11/28/2021,SD,164292,,2320
05/03/2022,IA,765186,,9529
11/06/2020,RMI,1,1.0,0
10/19/2020,TN,227503,216750.0,2909
01/03/2022,AS,11,,0
04/14/2020,AL,4030,3927.0,180
10/15/2020,PR,29386,29095.0,747
03/05/2020,IN,0,,0
01/03/2022,MA,1173704,1091147.0,20315
07/22/2021,TN,877632,721748.0,12666
10/18/2022,FL,7145833,,82065
02/28/2021,ND,99852,94623.0,1445
08/11/2022,PR,882822,393073.0,4830
07/28/2022,SD,250286,,2956
10/19/2020,OH,183624,172997.0,5075
11/11/2020,ND,59173,59173.0,697
09/17/2022,MP,13155,13155.0,40
10/25/2021,NYC,1117403,912965.0,34537
09/24/2022,PA,3239298,2667423.0,47098
03/25/2021,AL,512449,401529.0,10927
04/06/2020,OH,4450,,142
07/31/2021,TX,3125699,,52085
09/17/2021,KS,396907,316011.0,5865
01/22/2020,MP,0,0.0,0
01/07/2022,SD,189411,,2522
02/18/2021,ND,99153,94150.0,1435
08/25/2021,FL,3164536,,47939
03/07/2021,GU,7751,,133
03/28/2022,WV,497459,394669.0,6743
08/12/2020,PW,0,,0
10/14/2022,ND,271085,199512.0,2387
07/19/2021,RMI,4,4.0,0
01/06/2022,TN,1492730,1159187.0,21035
03/29/2022,AL,1293794,932674.0,19562
03/16/2022,ND,239339,179752.0,2229
07/22/2022,GU,54163,,377
12/07/2020,WV,56128,47242.0,841
08/19/2022,GU,57206,,389
10/10/2020,TX,790060,,17548
09/18/2020,NYC,242321,235684.0,23479
05/03/2021,OK,449692,354814.0,7261
03/30/2021,CO,469085,438473.0,6099
09/28/2020,AK,7664,,68
12/17/2020,PA,537851,488847.0,13392
04/13/2020,PR,486,486.0,37
01/24/2021,PW,0,,0
02/03/2021,MP,133,133.0,2
05/06/2021,OH,1080121,906928.0,19344
08/10/2021,TX,3245115,,52555
05/06/2022,KS,778045,584740.0,8691
11/18/2021,RMI,4,4.0,0
08/01/2021,OK,485771,381218.0,7524
09/17/2021,AK,96002,,454
10/25/2020,PW,0,,0
04/12/2020,PA,23263,22986.0,507
02/09/2021,PA,884846,765581.0,22620
08/05/2022,AS,7952,,33
10/07/2022,WV,602461,462578.0,7450
03/25/2020,AR,306,,2
05/13/2021,KS,311521,251551.0,5029
05/08/2020,PR,944,931.0,100
07/06/2021,NY,1158474,,19939
05/24/2022,AR,841119,,11451
07/21/2022,AK,269068,,1275
01/01/2021,HI,21258,,287
05/04/2021,SD,122974,,1973
06/25/2021,WV,163804,127965.0,2876
